,Posizione,Comune di,Popolazione(abitanti),Superficie(km²),Densità(ab./km²),Altitudine(m s.l.m.),Provincia
0,1º,Bologna,390 267,16086,"2 735,13",54,BO
1,2º,Parma,194 978,26077,74770,57,PR
2,3º,Modena,184 973,18323,1 014,34,MO
3,4º,Reggio Emilia,171 192,23156,74639,58,RE
4,5º,Ravenna,159 173,65289,245,4,RA
5,6º,Rimini,147 747,13452,1 042,5,RN
6,7º,Ferrara,133 398,40436,333,9,FE
7,8º,Forlì,118 208,22819,509,34,FC
8,9º,Piacenza,102 173,11846,859,61,PC
9,10º,Cesena,96 716,24947,383,44,FC
10,11º,Carpi,70 726,13114,527,26,MO
11,12º,Imola,69 705,20496,338,26,BO
12,13º,Faenza,58 549,21572,264,35,RA
13,14º,Sassuolo,40 873,3856,1 076,121,MO
14,15º,Casalecchio di Reno,36 322,1737,2 031,61,BO
15,16º,Cento,35 706,6480,534,15,FE
16,17º,Riccione,35 024,1711,2 059,12,RN
17,18º,Formigine,34 256,4682,707,82,MO
18,19º,Castelfranco Emilia,32 707,10131,301,42,MO
19,20º,Lugo,32 403,11692,280,12,RA
20,21º,San Lazzaro di Savena,32 046,4470,694,62,BO
21,22º,Valsamoggia,30 406,17813,16881,93,BO
22,23º,Cervia,28 940,8219,347,5,RA
23,24º,San Giovanni in Persiceto,27 917,11440,233,21,BO
24,25º,Fidenza,26 689,9515,266,75,PR
25,26º,Correggio,25 978,7779,327,31,RE
26,27º,Cesenatico,25 891,4513,553,2,FC
27,28º,Scandiano,25 456,4981,506,95,RE
28,29º,Vignola,25 207,2270,1 062,125,MO
29,30º,Mirandola,23 946,13700,176,18,MO
30,31º,Comacchio,22 659,28381,82,0,FE
31,32°,Santarcangelo di Romagna,22 077,4513,461,42,RN
32,33º,Argenta,21 833,31105,71,4,FE
33,34°,Casalgrande,21 318,3771,565,97,RE
34,35°,Castel San Pietro Terme,20 837,14848,137,75,BO
